시군구,어린이집명,어린이집유형,운영현황,통학차량운영여부
강동구,구립초롱별어린이집,국공립,정상,미운영
강동구,구립엄마품어린이집,국공립,정상,미운영
강동구,구립래미안힐스테이트어린이집,국공립,정상,미운영
강동구,구립해나어린이집,국공립,정상,미운영
강동구,구립길동어린이집,국공립,정상,미운영
강동구,구립토리어린이집,국공립,정상,미운영
강동구,새아어린이집,가정,정상,미운영
강동구,구립별하어린이집,국공립,정상,미운영
강동구,사랑가득어린이집,가정,정상,미운영
강동구,구립색종이어린이집,국공립,정상,미운영
강동구,강동경희대병원어린이집,직장,정상,미운영
강동구,애플어린이집,가정,정상,미운영
강동구,구립올림픽파크꿈별어린이집,국공립,정상,미운영
강동구,구립꿈마루어린이집,국공립,정상,미운영
강동구,구립다온어린이집,국공립,정상,미운영
강서구,하람터어린이집,민간,정상,운영
강동구,구립고덕숲어린이집,국공립,정상,미운영
강동구,구립성내1동어린이집,국공립,정상,미운영
강동구,구립천호1동어린이집,국공립,정상,미운영
강동구,구립성내푸른어린이집,국공립,정상,미운영
강동구,구립봄빛어린이집,국공립,정상,미운영
강동구,구립유진어린이집,국공립,정상,
강동구,구립도토리어린이집,국공립,정상,미운영
강동구,구립태영어린이집,국공립,정상,미운영
강동구,삼성물산강동어린이집,직장,정상,
강북구,하아어린이집,가정,정상,미운영
강북구,아기천사어린이집,가정,정상,미운영
강북구,삼동어린이집,사회복지법인,정상,미운영
강북구,명선어린이집,법인·단체등,정상,미운영
강북구,구립아람어린이집,국공립,정상,미운영
강북구,구립해맞이어린이집,국공립,정상,미운영
강북구,구립삼양어린이집,국공립,정상,미운영
강북구,구립탐구어린이집,국공립,정상,미운영
강북구,구립율곡어린이집,국공립,정상,미운영
강북구,구립우이동어린이집,국공립,정상,미운영
강북구,구립수유1동어린이집,국공립,정상,미운영
강북구,구립삼각산동어린이집,국공립,정상,미운영
강북구,구립송천동어린이집,국공립,정상,미운영
강북구,구세군강북 어린이집,법인·단체등,정상,미운영
강북구,구립번2동어린이집,국공립,정상,미운영
강북구,구립송중동어린이집,국공립,정상,미운영
강북구,꼬꼬마어린이집,민간,정상,운영
강북구,늘기쁜어린이집,가정,정상,미운영
강북구,강북구청어린이집,직장,정상,미운영
강북구,구립샛별어린이집,국공립,정상,미운영
강북구,앙팡어린이집,민간,정상,운영
강북구,구립인수동어린이집,국공립,정상,미운영
강북구,구립번1동어린이집,국공립,정상,미운영
강북구,꽃길어린이집,민간,정상,운영
강북구,구립행복어린이집,국공립,정상,미운영
강북구,구립수유2동어린이집,국공립,정상,미운영
강북구,아름어린이집,민간,정상,운영
강북구,코코어린이집,민간,정상,운영
강북구,토마토어린이집,민간,정상,운영
강북구,나이팅게일어린이집,민간,정상,운영
강북구,백운교회어린이집,국공립,정상,미운영
강북구,나나어린이집,민간,정상,운영
강북구,푸르른어린이집,민간,정상,운영
강북구,한나어린이집,가정,정상,미운영
강북구,꿈나무어린이집,민간,정상,운영
강북구,평강 어린이집,민간,정상,운영
강북구,별나라어린이집,가정,정상,미운영
강북구,또래어린이집,가정,재개,미운영
강북구,구립예능어린이집,국공립,정상,미운영
강북구,꿈터어린이집,민간,정상,운영
강북구,은초롱어린이집,민간,정상,미운영
강북구,구립하늘아이어린이집,국공립,정상,미운영
